銘柄コード,企業名,業種
1332,ニッスイ,水産・農林業
2002,日清製粉グループ本社,食料品
2269,明治ホールディングス,食料品
2282,日本ハム,食料品
2501,サッポロホールディングス,食料品
2502,アサヒグループホールディングス,食料品
2503,キリンホールディングス,食料品
2531,宝ホールディングス,食料品
2801,キッコーマン,食料品
2802,味の素,食料品
2871,ニチレイ,食料品
2914,日本たばこ産業,食料品
3382,セブン＆アイ・ホールディングス,小売業
3401,帝人,繊維製品
3402,東レ,繊維製品
3405,クラレ,化学
3407,旭化成,化学
3436,ＳＵＭＣＯ,金属製品
3861,王子ホールディングス,パルプ・紙
3863,日本製紙,パルプ・紙
4004,レゾナック・ホールディングス,化学
4005,住友化学,化学
4021,日産化学,化学
4041,日本曹達,化学
4042,東ソー,化学
4043,トクヤマ,化学
4061,デンカ,化学
4062,イビデン,電気機器
4063,信越化学工業,化学
4151,協和キリン,医薬品
4183,三井化学,化学
4188,三菱ケミカルグループ,化学
4208,ＵＢＥ,化学
4324,電通グループ,サービス業
4452,花王,化学
4502,武田薬品工業,医薬品
4503,アステラス製薬,医薬品
4506,住友ファーマ,医薬品
4507,塩野義製薬,医薬品
4519,中外製薬,医薬品
4523,エーザイ,医薬品
4543,テルモ,精密機器
4568,第一三共,医薬品
4578,大塚ホールディングス,医薬品
4631,ＤＩＣ,化学
4661,オリエンタルランド,サービス業
4689,ＬＩＮＥヤフー,情報・通信業
4704,トレンドマイクロ,情報・通信業
4751,サイバーエージェント,サービス業
4901,富士フイルムホールディングス,化学
4911,資生堂,化学
5019,出光興産,石油・石炭製品
5020,ＥＮＥＯＳホールディングス,石油・石炭製品
5101,横浜ゴム,ゴム製品
5108,ブリヂストン,ゴム製品
5201,ＡＧＣ,ガラス・土石製品
5202,日本板硝子,ガラス・土石製品
5214,日本電気硝子,ガラス・土石製品
5232,住友大阪セメント,ガラス・土石製品
5233,太平洋セメント,ガラス・土石製品
5301,東海カーボン,ガラス・土石製品
5332,ＴＯＴＯ,ガラス・土石製品
5333,日本碍子,ガラス・土石製品
5401,日本製鉄,鉄鋼
5406,神戸製鋼所,鉄鋼
5411,ＪＦＥホールディングス,鉄鋼
5541,大平洋金属,鉄鋼
5631,日本製鋼所,機械
5703,日本軽金属ホールディングス,非鉄金属
5706,三井金属鉱業,非鉄金属
5711,三菱マテリアル,非鉄金属
5713,住友金属鉱山,非鉄金属
5714,ＤＯＷＡホールディングス,非鉄金属
5801,古河電気工業,非鉄金属
5802,住友電気工業,非鉄金属
5803,フジクラ,非鉄金属
5831,しずおかフィナンシャルグループ,銀行業
6098,リクルートホールディングス,サービス業
6103,オークマ,機械
6118,アマダ,機械
6146,ディスコ,機械
6273,ＳＭＣ,機械
6301,小松製作所,機械
6302,住友重機械工業,機械
6305,日立建機,機械
6326,クボタ,機械
6367,ダイキン工業,機械
6383,ダイフク,機械
6471,日本精工,機械
6472,ＮＴＮ,機械
6473,ジェイテクト,機械
6479,ミネベアミツミ,電気機器
6501,日立製作所,電気機器
6503,三菱電機,電気機器
6504,富士電機,電気機器
6506,安川電機,電気機器
6526,ソシオネクスト,電気機器
6594,ニデック,電気機器
6645,オムロン,電気機器
6701,日本電気,電気機器
6702,富士通,電気機器
6723,ルネサスエレクトロニクス,電気機器
6724,セイコーエプソン,電気機器
6752,パナソニック ホールディングス,電気機器
6758,ソニーグループ,電気機器
6762,ＴＤＫ,電気機器
6770,アルプスアルパイン,電気機器
6841,横河電機,電気機器
6857,アドバンテスト,電気機器
6861,キーエンス,電気機器
6902,デンソー,輸送用機器
6920,レーザーテック,電気機器
6952,カシオ計算機,電気機器
6954,ファナック,電気機器
6971,京セラ,電気機器
6976,太陽誘電,電気機器
6981,村田製作所,電気機器
6988,日東電工,化学
7011,三菱重工業,機械
7012,川崎重工業,機械
7013,ＩＨＩ,機械
7181,かんぽ生命保険,保険業
7182,ゆうちょ銀行,銀行業
7186,コンコルディア・フィナンシャルグループ,銀行業
7201,日産自動車,輸送用機器
7202,いすゞ自動車,輸送用機器
7203,トヨタ自動車,輸送用機器
7205,日野自動車,輸送用機器
7211,三菱自動車工業,輸送用機器
7259,アイシン,輸送用機器
7261,マツダ,輸送用機器
7267,本田技研工業,輸送用機器
7269,スズキ,輸送用機器
7270,ＳＵＢＡＲＵ,輸送用機器
7272,ヤマハ発動機,輸送用機器
7731,ニコン,精密機器
7733,オリンパス,精密機器
7735,ＳＣＲＥＥＮホールディングス,電気機器
7741,ＨＯＹＡ,精密機器
7751,キヤノン,電気機器
7752,リコー,電気機器
7762,シチズン時計,精密機器
7832,バンダイナムコホールディングス,その他製品
7911,ＴＯＰＰＡＮホールディングス,その他製品
7912,大日本印刷,その他製品
7951,ヤマハ,その他製品
7974,任天堂,その他製品
8001,伊藤忠商事,卸売業
8002,丸紅,卸売業
8015,豊田通商,卸売業
8031,三井物産,卸売業
8035,東京エレクトロン,電気機器
